date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:13:44	144870/144870	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:46%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/0189ca51c8104412f34cf96b0aa0c321d21e562762.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/0189ca51c8104412f34cf96b0aa0c321d21e562762.jpg	(from https://bellevision.com.br/portfolio/)
16:13:44	624909/624909	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:48%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/0197e71cafc162563df29d428daf9b382558ba8446.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/0197e71cafc162563df29d428daf9b382558ba8446.jpg	(from https://bellevision.com.br/portfolio/)
16:13:44	884110/884110	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:44%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/0166e5aadb2ac4152378705f3e64bbdd94384763b4.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/0166e5aadb2ac4152378705f3e64bbdd94384763b4.jpg	(from https://bellevision.com.br/portfolio/)
16:13:45	368523/368523	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:52%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/01046aa5b11110d04cc6bc0910de41366ccb54b2f1.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/01046aa5b11110d04cc6bc0910de41366ccb54b2f1.jpg	(from https://bellevision.com.br/portfolio/)
16:13:45	946768/946768	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:50%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/0198d1c01bb8299148eb0444166b9d814d7f91c86b.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/0198d1c01bb8299148eb0444166b9d814d7f91c86b.jpg	(from https://bellevision.com.br/portfolio/)
16:13:45	176208/176208	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:54%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/01202ef1a172f7e6367d0c19d6262742503e79ed75.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/01202ef1a172f7e6367d0c19d6262742503e79ed75.jpg	(from https://bellevision.com.br/portfolio/)
16:13:46	168680/168680	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:56%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/01332e2b6a286cf6b95eca7840dfe3aab093d2edc0.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/01332e2b6a286cf6b95eca7840dfe3aab093d2edc0.jpg	(from https://bellevision.com.br/portfolio/)
16:13:46	973349/973349	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:54%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/01088c4c73d04b4e11c2980f7111981aaa84024c40.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/01088c4c73d04b4e11c2980f7111981aaa84024c40.jpg	(from https://bellevision.com.br/portfolio/)
16:13:46	179980/179980	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:56%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/01450dce87e4dcd8cb1eeb8106dca7a2c5d48873c9.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/01450dce87e4dcd8cb1eeb8106dca7a2c5d48873c9.jpg	(from https://bellevision.com.br/portfolio/)
16:13:46	143243/143243	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Dec%202020%2016:02:58%20GMT	https://bellevision.com.br/wp-content/uploads/2020/12/01539f56990fa02c2512d6a3f7a79f245d1aa011b5.jpg	C:/Meus%20Sites/cap/bellevision.com.br/wp-content/uploads/2020/12/01539f56990fa02c2512d6a3f7a79f245d1aa011b5.jpg	(from https://bellevision.com.br/portfolio/)
